KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
ConcreteDestroyedBlocks,Concrete Blocks (Damaged),Betonblöcke - zerstört,Blocs béton - détruits,Blocchi di Calcestruzzo - Distrutti,Bloques de hormigón - Destruido,Blocos de Cimento - Destruídos,Blocos de Concreto - Destruído,"Bloki betonowe, zniszczone (grupa)",Бетонные блоки - разбитые,コンクリート(破損),水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,Beton Bloklar- Yıkık,Τσιμεντένια Μπλοκ - Κατεστραμμένα,Beton blokken - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteFull,Concrete Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,Beton Blok,Τσιμεντένιο Μπλοκ,Beton blok,Khối bê tông
ConcreteFullDestroyed,Concrete Block - (Damaged),Betonblock - zerstört,Bloc béton - détruit,Blocco di Calcestruzzo - Distrutto,Bloque de hormigón - Destruido,Bloco de Cimento - Destruído,Bloco de Concreto - Destruído,Blok betonowy - zniszczony,Бетонный блок - разбитый,コンクリート(破損),水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,Beton Blok - Yıkık,Τσιμεντένιο Μπλοκ - Κατεστραμμένο,Beton blok - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteThin,Concrete Block,Betonblock,Bloc béton (fin),Blocco di Calcestruzzo (Sottile),Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок (тонкий),コンクリート,水泥方块,混凝土方塊,콘크리트 블록,Beton Blok,Τσιμεντένιο Μπλοκ (λεπτό),Beton blok,Khối bê tông
ConcreteThinBlocks,Concrete Thin Blocks,Betonblöcke (dünn),Blocs béton (fin),Blocchi di Calcestruzzo (Sottile),Bloques de hormigón(delgado),Blocos de Cimento (finos),Blocos de Concreto (fino),"Bloki betonowe, płaskie (grupa)",Бетонные блоки (тонкие),薄型コンクリート,水泥方块 (薄型),混凝土方塊:�),콘크리트 블록(얇음),Beton Bloklar (ince),Τσιμεντένιο Μπλοκ (λεπτό),Beton blokken (Smal),Khối bê tông (mỏng)
ConcreteThinDestroyed,Concrete Thin Blocks (Damaged),Betonblöcke (dünn) - zerstört,Blocs béton (fin) - détruits,Blocchi di Calcestruzzo (Sottile) - Distrutti,Bloques de hormigón (delgado) - Destruido,Blocos de Cimento (finos) - Destruídos,Blocos de Aço (fino) - Destruído,"Bloki betonowe, płaskie, zniszczone (grupa)",Бетонные блоки (тонкие) - разбитые,薄型コンクリート(破損),水泥方块 (薄型) - 已损毁,混凝土方塊(�: - 已摧毀,콘크리트 블록(얇음) - 파괴됨,Beton Bloklar (ince) - Yıkık,Τσιμεντένιο Μπλοκ (λεπτό) - Κατεστραμμένο,Beton blokken (Smal) - Vernietigd,Khối bê tông (mỏng) - Đã bị phá huỷ
GrowingPot,Hydroponics Unit (Steel),Hydroponik-Einheit (Stahl),Plot horticole (acier),Terreno da Coltivazione (Acciaio),Parcela de cultivo (acero),Terreno Emergente (Aço),Terra Arada (Aço),Działka ogrodnicza (stal),Растительный модуль (Сталь),農地(スチール),植物生长箱 (钢制),植物培養基(鋼:),성장 대지(강철),Tarım Arsası (Çelik),Γλάστρα (Ατσάλι),Groeiplaats (Staal),Ô đất trồng (bằng thép)
GrowingPotConcrete,Hydroponics Unit (Concrete),Hydroponik-Einheit (Beton),Plot horticole (béton),Terreno da Coltivazione (Calcestruzzo),Parcela de cultivo (hormigón),Terreno Emergente (Cimento),Terra Arada (Concreto),Działka ogrodnicza (beton),Растительный модуль (Бетон),農地(コンクリート),植物生长箱 (水泥),植物培養基(混��:�),성장 대지(콘크리트),Tarım Arsası (Beton),Γλάστρα (Τσιμέντο),Groeiplaats (Beton),Ô đất trồng (bằng bê tông)
GrowingPotWood,Hydroponics Unit (Wood),Hydroponik-Einheit (Holz),Plot horticole (bois),Terreno da Coltivazione (Legno),Parcela de cultivo (madera),Terreno Emergente (Madeira),Terra Arada (Madeira),Działka ogrodnicza (drewno),Растительный модуль (Дерево),農地(木材),植物生长箱 (木制),植物培養基(木材):�장 대지(목재),Tarım Arsası (Ahşap),Γλάστρα (Ξύλο),Groeiplaats (Hout),Ô đất trồng (bằng gỗ),
HullArmoredFull,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé,Blocco di Acciaio Rinforzato,Bloque de acero endurecido,Bloco de Aço Temperado,Bloco de Aço Reforçado,Blok ze stali hartowanej,Прочный стальной блок,硬化スチール,加固钢制方块,硬化鋼方塊,경화 강철 블록,Güçlendirilmiş Çelik Blok,Μπλοκ Σκληρό Ατσάλι,Gehard staal blok,Khối thép cứng
HullArmoredFullLarge,Hardened Steel Block (Large),Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L,Bloque de acero endurecido (L),Bloco de Aço Temperado L,Bloco de Aço Reforçado G,Blok ze stali hartowanej L,Прочный стальной блок Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Güçlendirilmiş Çelik Blok L,Μπλοκ Σκληρό Ατσάλι L,Gehard staal blok L,Khối thép cứng L
HullArmoredFullSmall,Hardened Steel Block (Small),Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido (S),Bloco de Aço Temperado S,Bloco de Aço Reforçado P,Blok ze stali hartowanej S,Прочный стальной блок М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Güçlendirilmiş Çelik Blok S,Μπλοκ Σκληρό Ατσάλι S,Gehard staal blok S,Khối thép cứng S
HullArmoredLargeBlocks,Hardened Steel Blocks (Large),Gehärtete Stahlblöcke L,Blocs acier blindé L,Blocchi di Acciaio Rinforzato L,Bloques de acero endurecido (L),Blocos de Aço Temperado L,Bloco de Aço Reforçado G,"Bloki stalowe, hartowane L (grupa)",Прочные стальные блоки Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Güçlendirilmiş Çelik Bloklar L,Μπλοκ Σκληρό Ατσάλι L,Gehard staal blokken L,Khối thép cứng L
HullArmoredSmallBlocks,Hardened Steel Blocks (Small),Gehärtete Stahlblöcke S,Blocs acier blindé S,Blocchi di Acciaio Rinforzato S,Bloques de acero endurecido (S),Blocos de Aço Temperado S,Blocos de Aço Reforçado P,"Bloki stalowe, hartowane S (grupa)",Прочные стальные блоки М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Güçlendirilmiş Çelik Bloklar S,Μπλοκ Σκληρό Ατσάλι S,Gehard staal blokken S,Khối thép cứng S
HullArmoredThin,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé (fin),Blocco di Acciaio Rinforzato (Sottile),Bloque de acero endurecido (delgado),Bloco de Aço Temperado,Bloco de Aço Reforçado (fino),Blok ze stali hartowanej,Прочный стальной блок (тонкий),硬化スチール,加固钢制方块,硬化鋼方塊,경화 강철 블록,Güçlendirilmiş Çelik Blok,Μπλοκ Σκληρό Ατσάλι,Gehard staal blokken,Khối thép cứng
HullArmoredThinLarge,Hardened Steel Block (Large),Gehärteter Stahlblock L,Bloc acier blindé L (fin),Blocco di Acciaio Rinforzato L (Sottile),Bloque de acero endurecido (L)(delgado),Bloco de Aço Temperado L,Bloco de Aço Reforçado G (fino),Blok ze stali hartowanej L,Прочный стальной блок Б (тонкий),硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Güçlendirilmiş Çelik Blok L,Μπλοκ Σκληρό Ατσάλι L,Gehard staal blok L,Khối thép cứng L
HullArmoredThinLargeBlocks,Hardened Steel Thin Blocks (Large),Gehärtete Stahlblöcke L (dünn),Blocs acier blindé L (fin),Blocchi di Acciaio Rinforzato L (Sottile),Bloques de acero endurecido (L)(delgado),Blocos de Aço Temperado L (fino),Bloco de Aço Reforçado G (fino),"Bloki stalowe, hartowane, płaskie L (grupa)",Прочные стальные блоки Б (тонкие),薄型硬化スチールL,加固钢制方块 L (薄型),硬化鋼大方塊(薄),경�:강철 블록 L(얇음),Güçlendirilmiş Çelik Bloklar L (ince),Μπλοκ Σκληρό Ατσάλι L (λεπτό),Gehard staal blokken L (Smal),Khối thép cứng L (mỏng)
HullArmoredThinSmall,Hardened Steel Block (Small),Gehärteter Stahlblock S,Bloc acier blindé S (fin),Blocco di Acciaio Rinforzato S (Sottile),Bloque de acero endurecido (S)(delgado),Bloco de Aço Temperado S,Bloco de Aço Reforçado P (fino),Blok ze stali hartowanej S,Прочный стальной блок М (тонкий),硬化スチールL,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Güçlendirilmiş Çelik Blok S,Μπλοκ Σκληρό Ατσάλι S,Gehard staal blok S,Khối thép cứng S
HullArmoredThinSmallBlocks,Hardened Steel Thin Blocks (Small),Gehärtete Stahlblöcke S (dünn),Blocs acier blindé S (fin),Blocchi di Acciaio Rinforzato S (Sottile),Bloques de acero endurecido (S)(delgado),Blocos de Aço Temperado S (fino),Blocos de Aço Reforçado P (fino),"Bloki stalowe, hartowane, płaskie S (grupa)",Прочные стальные блоки М (тонкие),薄型硬化スチールS,加固钢制方块 S (薄型),硬化鋼小方塊(薄),경화:�철 블록 S(얇음),Güçlendirilmiş Çelik Bloklar S (ince),Μπλοκ Σκληρό Ατσάλι S (λεπτό),Gehard staal blokken S (Smal),Khối thép cứng S
HullCombatFullLarge,Combat Steel Block (Large),Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,Bloque de acero de combate (L),Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б,戦闘用スチールL,战斗钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,Savaş Çeliği Blok L,Μπλοκ Ατσάλι Μάχης L,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatLargeBlocks,Combat Steel Blocks (Large),Gefechts-Stahlblöcke L,Blocs acier militaire L,Blocchi di Acciaio da Combattimento L,Bloques de acero de combate (L),Blocos de Aço Combate L,Blocos de Aço de Combate G,Bloki ze stali bojowej L (grupa),Блоки из оружейной стали Б,戦闘用スチールL,战斗钢制方块组 L,戰鬥鋼大方塊,전투용 강철 블록 L,Savaş Çeliği Blokları L,Μπλοκ Ατσάλι Μάχης L,Gewapend staal blokken L,Khối thép chiến đấu L
