KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iG40h,[b]Prologue:[/b] [b][c][00fbff]Journey into the unknown[-][/c][/b],,,,,,,,,,[b]序章:[/b] [b][c][00fbff]未知之旅[-][/c][/b],,,,,,
pda_mKuKK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou crawl from the wreckage of your escape pod to find yourself injured and alone on an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.",,,,,,,,,,"[b][c][00fbff]序章:未知之旅[-][/c][/b]\n\n你从逃生舱的残骸中爬出来,发现自己在一个未知的星球上受伤且孤身一人。\n你不记得自己是如何来到这里的,手头的资源也很少,宇航服无线电的劈啪声引导你走向这个外星星球的荒野,寻找答案。",,,,,,
pda_isaCK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.\n\n***\n[c][1083fe]This is the beginning of the main Empyrion Storyline[-][/c]",,,,,,,,,,"[b][c][00fbff]序章:未知之旅[-][/c][/b]\n\n你在一艘受损的逃生舱中醒来,受伤且孤身一人,逃生舱刚刚坠入一个未知世界的大气层。\n你不记得自己是如何来到这里的,手头的资源也很少,宇航服无线电的劈啪声引导你走向这个外星星球的荒野,寻找答案。\n\n***\n[c][1083fe]这是帝国百科全书主线剧情的开始[-][/c]",,,,,,
pda_4uW88,"[b][c][ff0000]Important !![-][/c][/b]\nYou can activate the main storyline missions via PDA (F1) at any time.\n\nPlease bear in mind, the storyline consists of consecutively linked chapters. Starting the storyline while having played for a while, sometimes might lead to its missions, related POI and the order of events [u]not working as expected anymore[/u].",,,,,,,,,,[b][c][ff0000]重要！！[-][/c][/b]\n你可以随时通过PDA（F1）激活主线任务。\n\n请注意，主线剧情由连续关联的章节组成。在游戏进行一段时间后再启动主线，有时可能导致其任务、相关POI及事件顺序[u]不再按预期运行[/u]。,,,,,,
pda_t8uSu,A whole new world,,,,,,,,,,一个全新的世界,,,,,,
pda_OHW4q,Recollections,,,,,,,,,,回忆,,,,,,
pda_gLC84,===,,,,,,,,,,===,,,,,,
pda_44CuO,Wh... What happened to the station?! To the Crew?!\nI've got to contact the fleet!,,,,,,,,,,什……发生了什么事？空间站怎么了？！船员们呢？！\n我必须联系舰队！,,,,,,
pda_m00mm,Transmitting,,,,,,,,,,传输中,,,,,,
pda_40bGa,Static,,,,,,,,,,静电,,,,,,
pda_cVmKO,===,,,,,,,,,,===,,,,,,
pda_r08G8,[b][c][a1a1a1]< Radio Static >[-][/c][/b],,,,,,,,,,[b][c][a1a1a1]< 无线电静电 >[-][/c][/b],,,,,,
pda_8SOmG,The Signal,,,,,,,,,,信号,,,,,,
pda_4W48m,Unknown Source,,,,,,,,,,未知来源,,,,,,
pda_2SmuW,===,,,,,,,,,,===,,,,,,
pda_u0u8q,[b][c][a1a1a1]< Static > [-][/c][c][00e1ff]...ntelli...data...signal...radi...cal...ration...assist...transm...on...oceed...[-][/c][c][a1a1a1] < Static >[-][/c][/b],,,,,,,,,,[b][c][a1a1a1]< 静电 > [-][/c][c][00e1ff]...elli...数据...信号...广播...协助...传输...进行...[-][/c][c][a1a1a1] < 静电 >[-][/c][/b],,,,,,
pda_m4We4,Hope rising,,,,,,,,,,希望升起,,,,,,
pda_Cui84,Boosting the signal,,,,,,,,,,增强信号,,,,,,
pda_sWeam,===,,,,,,,,,,===,,,,,,
pda_e0m8O,But I can't understand what they're saying.\nI need some way to clean up their transmission...\n\nThere's probably [c][fbff00]an Antenna[-][/c] among some of the wreckage on the ground that I can use to boost the signal strength. It's just a matter of finding a functional device.,,,,,,,,,,"但我听不懂他们在说什么。\n我需要想办法增强他们的传输信号...\n\n地上的一些残骸中可能有[c][fbff00]一个天线[-][/c],我可以用它来增强信号强度。现在的问题是找到一个能用的设备。",,,,,,
pda_mS0u0,MacGyver,,,,,,,,,,MacGyver,,,,,,
pda_uqiiG,Find a usable antenna among the wreckage,,,,,,,,,,在残骸中找到一根可用天线,,,,,,
pda_WG08Y,Somewhere in this wreckage is a UCH Antenna I can use to boost the gain of my suit's radio.\n\n[c][ff0000][b]This mission can only be completed on the default starting planets at the crash site[/b][-][/c],,,,,,,,,,在这片残骸中有一台UCH天线，我可以用它来提升我套装中的无线电增益。\n\n[c][ff0000][b]此任务仅能在默认起点星球的坠机现场完成[/b][-][/c],,,,,,
pda_iqSK4,That [i]looks [/i]like an Antenna off a UCH Crusader-Class Frigate!\nThat [i]should [/i]be able to do the job it if it's not too damaged.,,,,,,,,,,那 [i]看起来[/i]像是一艘UCH十字军级驱逐舰的天线！\n只要没有太严重损坏[i]应该[/i]能完成任务。,,,,,,
pda_0kOaC,Send and Receive,,,,,,,,,,发送并接收,,,,,,
pda_eiClS,Excavate the Port on the Antenna,,,,,,,,,,挖掘天线上的港口,,,,,,
pda_Be0uK,===,,,,,,,,,,===,,,,,,
pda_uOCSK,Transmission Test,,,,,,,,,,传输测试,,,,,,
pda_ii0e0,Receiving Transmission,,,,,,,,,,接受传输,,,,,,
pda_Cn4Wm,Datalink connection test,,,,,,,,,,数据链接测试,,,,,,
pda_0KRGG,"[c][8ab3ff]Loud and clear, Ida.[-][/c]\n[c][8ab3ff]And how are you on this fine, sunny day?[-][/c]",,,,,,,,,,"[c][8ab3ff]信号很清晰, IDA.[-][/c]\n[c][8ab3ff]今天天气晴朗,你还好吗?[-][/c]",,,,,,
pda_8ieqC,Comedy Routine,,,,,,,,,,喜剧表演,,,,,,
pda_aGi4C,Void of jokes,,,,,,,,,,不要开玩笑,,,,,,
pda_m0ai0,Datalink connection test,,,,,,,,,,数据链接测试,,,,,,
pda_eqqm0,"[c][8ab3ff]Relax, Ida.[-][/c]\n[c][8ab3ff]I thought you new-model AIs were capable of learning and empathy.[-][/c]\n\n[c][8ab3ff]I'm just... trying to stay positive here... and I figured you could do with a laugh too.[-][/c]",,,,,,,,,,[c][8ab3ff]放轻松，ida。[-][/c]\n[c][8ab3ff]我以为新模型的AI具备学习和同理心。[-][/c]\n\n[c][8ab3ff]我只是...试图保持积极心态...我猜你也需要笑一笑。[-][/c],,,,,,
pda_4Sa0G,A New Parameter,,,,,,,,,,一个新参数,,,,,,
pda_d8Nm0,Into the Unknown,,,,,,,,,,踏入未知,,,,,,
pda_0ZCqe,===,,,,,,,,,,===,,,,,,
pda_8Quxi,"[c][8ab3ff]Glad to hear it, Ida![-][/c]\n\n[c][8ab3ff]I guess it's time we set out on our journey into the unknown...[-][/c]",,,,,,,,,,"[c][8ab3ff]很高兴能听见, IDA![-][/c]\n\n[c][8ab3ff]我想是时候开始我们的未知之旅了...[-][/c]",,,,,,
pda_u8qi4,[b]Chapter 1:[/b] [b][c][00fbff]Human Debris[-][/c][/b],,,,,,,,,,[b]第一章:[/b][b][c][00fbff]人类残迹[-][/c][/b],,,,,,
pda_WmuK5,"[c][00ffff][b]Chapter 1: Human Debris[/b][-][/c]\n\nAlone on an unknown world, you stand against an unforgiving and alien world looking for anything that remains of your crew and your fleet among the wreckage.\n\nAre you truly alone?\n\nIDA may have found the answers you seek...",,,,,,,,,,"[c][00ffff][b]第一章:人类残迹[/b][-][/c]\n\n孤身一人身处未知星球,你面对着无情而陌生的环境,在残骸中寻找任何可能残留的船员和舰队踪迹。\n\n你真的孤单一人吗?\n\nIDA可能已经找到了你寻找的答案...",,,,,,
pda_0YSoK,[c][80ffff]Are you sure you want to abort this mission? Please confirm your choice.[-][/c]\n\nYou can start the mission via PDA (F1) at any time.,,,,,,,,,,[c][80ffff]您确定要中止这个任务吗?请确认您的选择.[-][/c]\n\n你可以通过PDA (F1)在任何时候重启任务.,,,,,,
pda_SmWuC,Receiving Transmission,,,,,,,,,,接受传输,,,,,,
pda_mu4K4,[c][4dc3ff]Decrypting...[-][/c],,,,,,,,,,[c][4dc3ff]解密中...[-][/c],,,,,,
pda_a0WSS,===,,,,,,,,,,===,,,,,,
pda_qu1Cp,"[c][fafe10][b][ IDA ][/b][-][/c][c][00fbff][-][/c]\n[c][00fbff]I am detecting no thermal or electrical emissions on the ground. But j[-][/c][c][00fbff]udging by the disturbance to the surrounding terrain, I would estimate that the ship impacted the ground at considerable speed.[-][/c]\n[c][00fbff]There may have been survivors, but I am unable to detect the presence of any human heat signatures.[-][/c]",,,,,,,,,,"[c][fafe10][b][ IDA ][/b][-][/c][c][00fbff][-][/c]\n[c][00fbff]我没有检测到地面的热能或电能排放。但根[-][/c][c][00fbff]据周围地形的扰动判断,我估计飞船以相当大的速度撞击了地面。[-][/c]\n[c][00fbff]可能有幸存者,但我无法检测到任何人类热信号的存在。[-][/c]",,,,,,
pda_a8mOi,Pelican Down,,,,,,,,,,鹈鹕坠落,,,,,,
pda_uuSa4,Locate the crashed ship,,,,,,,,,,找到失事船只的位置,,,,,,
pda_WSaau,IDA has identified a crashed Pelican-Class Transport that may contain clues about the UCH forces and the current situation.,,,,,,,,,,"IDA检索到了一艘坠毁的鹈鹕级运输船,上面可能有关于UCH部队动向的线索",,,,,,
