KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
chptitleBasicTraining,Getting Started,,,,,,,,,,开始入门,,,,,,
chpdescBasicTraining,Learn the basics of survival in the most hostile environments.,,,,,,,,,,学习在最恶劣的环境中生存的基础知识。,,,,,,
tasktitleBasicTraining,Begin Basic Training,,,,,,,,,,开始基础训练,,,,,,
acttitleBasicTraining,wait,,,,,,,,,,等待,,,,,,
actdescBasicTraining,wait,,,,,,,,,,等待,,,,,,
chptitleBasicTrainingA,Personal Defense,,,,,,,,,,个人防御,,,,,,
chpdescBasicTrainingA,Learn to defend yourself in order to survive in hostile environments.,,,,,,,,,,学会在敌对环境中自卫以生存。,,,,,,
tasktitleBasicTrainingA,Kill a Creature,,,,,,,,,,击杀生物,,,,,,
acttitleBasicTrainingA,Kill a Creature,,,,,,,,,,击杀生物,,,,,,
actdescBasicTrainingA,Equip your Survival Tool and Kill a Creature.,,,,,,,,,,装备你的生存工具并击杀一个生物。,,,,,,
chptitleBasicTrainingB,First Aid,,,,,,,,,,急救,,,,,,
chpdescBasicTrainingB,Learn how to craft basic medical supplies.,,,,,,,,,,学会如何制作基本医疗用品。,,,,,,
tasktitleBasicTrainingB,First Aid,,,,,,,,,,急救,,,,,,
acttitleBasicTrainingBa,Bandages,,,,,,,,,,绷带,,,,,,
actdescBasicTrainingBa,Craft 3 Bandages,,,,,,,,,,制作3个绷带,,,,,,
acttitleBasicTrainingBb,Antibiotic Ointment,,,,,,,,,,抗生素药膏,,,,,,
actdescBasicTrainingBb,Craft 1 Antibiotic Ointment,,,,,,,,,,制作1个抗生素药膏,,,,,,
chptitleBasicTrainingC,Food and Hunger,,,,,,,,,,食物与饥饿,,,,,,
chpdescBasicTrainingC,Learn how to craft food for survival.,,,,,,,,,,学会如何制作生存所需食物。,,,,,,
tasktitleBasicTrainingC,Basic Food Production,,,,,,,,,,基础食物生产,,,,,,
acttitleBasicTrainingC,Energy Bars,,,,,,,,,,能量棒,,,,,,
actdescBasicTrainingC,Craft 3 Energy Bars,,,,,,,,,,制作3个能量棒,,,,,,
chptitleBasicTrainingD,Claiming Salvage,,,,,,,,,,回收残骸,,,,,,
chpdescBasicTrainingD,Learn how to claim salvage.,,,,,,,,,,学会如何回收残骸。,,,,,,
tasktitleBasicTrainingD,Basic Engineering,,,,,,,,,,基础工程,,,,,,
chptitleBasicTrainingArid,Getting Started,,,,,,,,,,开始入门,,,,,,
chpdescBasicTrainingArid,Learn the basics of survival in the most hostile environments.,,,,,,,,,,学习在最恶劣的环境中生存的基础知识。,,,,,,
tasktitleBasicTrainingArid,Begin Basic Training,,,,,,,,,,开始基础训练,,,,,,
acttitleBasicTrainingArid,wait,,,,,,,,,,等待,,,,,,
actdescBasicTrainingArid,wait,,,,,,,,,,等待,,,,,,
chptitleBasicTrainingAridA,Personal Defense,,,,,,,,,,个人防御,,,,,,
chpdescBasicTrainingAridA,Learn to defend yourself in order to survive in hostile environments.,,,,,,,,,,学会在敌对环境中自卫以生存。,,,,,,
tasktitleBasicTrainingAridA,Kill a Creature,,,,,,,,,,击杀生物,,,,,,
acttitleBasicTrainingAridA,Kill a Creature,,,,,,,,,,击杀生物,,,,,,
actdescBasicTrainingAridA,Equip your Survival Tool and Kill a Creature.,,,,,,,,,,装备你的生存工具并击杀一个生物。,,,,,,
chptitleBasicTrainingAridB,First Aid,,,,,,,,,,急救,,,,,,
chpdescBasicTrainingAridB,Learn how to craft basic medical supplies.,,,,,,,,,,学会如何制作基本医疗用品。,,,,,,
tasktitleBasicTrainingAridB,First Aid,,,,,,,,,,急救,,,,,,
acttitleBasicTrainingAridBa,Bandages,,,,,,,,,,绷带,,,,,,
actdescBasicTrainingAridBa,Craft 3 Bandages,,,,,,,,,,制作3个绷带,,,,,,
acttitleBasicTrainingAridBb,Antibiotic Ointment,,,,,,,,,,抗生素药膏,,,,,,
actdescBasicTrainingAridBb,Craft 1 Antibiotic Ointment,,,,,,,,,,制作1个抗生素药膏,,,,,,
chptitleBasicTrainingAridC,Food and Hunger,,,,,,,,,,食物与饥饿,,,,,,
chpdescBasicTrainingAridC,Learn how to craft food for survival.,,,,,,,,,,学会如何制作生存所需食物。,,,,,,
