KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,,,,,,,,,,,,,,,,
dlgTCBadRepu,You need a friendly reputation or better to the Talon," then I will to talk to you",,,,,,,,,,,,,,,
dlgTCTellMeStory,Tell me the story about your people,,,,,,,,,,,,,,,,
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,,,,,,,,,,,,,,,,
txt_mWeCe,Welcome {PlayerName} to a round of cards!,,,,,,,,,,,,,,,,
txt_UGmuO,Card Dealer,,,,,,,,,,,,,,,,
txt_mq8OK,We will play for <color=#fddc1e>Gold Coins</color>.\nHow many <color=#fddc1e>Gold Coins</color> do you want to bet?,,,,,,,,,,,,,,,,
txt_4WUCq,1 <color=#fddc1e>Gold Coin</color>,,,,,,,,,,,,,,,,
txt_Zi4Gm,10 <color=#fddc1e>Gold Coins</color>,,,,,,,,,,,,,,,,
txt_BxmOu,100 <color=#fddc1e>Gold Coins</color>,,,,,,,,,,,,,,,,
txt_8cmWW,It seems you don't have enough <color=#fddc1e>Gold Coins</color>...get some and come back. Bye,,,,,,,,,,,,,,,,
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,,,,,,,,,,,,,,,,
txt_aqCI0,Do you want another card?,,,,,,,,,,,,,,,,
txt_GiiaK,Yes,,,,,,,,,,,,,,,,
txt_8OGas,No,,,,,,,,,,,,,,,,
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,,,,,,,,,,,,,,,,
txt_G0Fqm,<color=#cf0707>You lost!</color>,,,,,,,,,,,,,,,,
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,,,,,,,,,,,,,,,,
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,,,,,,,,,
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,,,,,,,,,,,,,,,,
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,,,,,,,,,,,,,,,,
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,,,,,,,,,,,,,,,,
txt_vmOu4,Yes,,,,,,,,,,,,,,,,
txt_8Oiie,No,,,,,,,,,,,,,,,,
txt_O8CaF,Come back soon! Bye.,,,,,,,,,,,,,,,,
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.",,,,,,,,,,,,,,,,
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>",,,,,,,,,,,,,,,,
txt_80qd8,"Wait, how does it work?",,,,,,,,,,,,,,,,
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,,,,,,,,,,,,,,,,
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,,,,,,,,,,,,,,,,
txt_eeUSG,Can you tell me my Statistics first?,,,,,,,,,,,,,,,,
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,,,,,,,,,,在我的桌子上，你玩了 <color=#ffffff>{GamesPlayed}</color> 次。\n\n你 <color=#019245>赢了 {TableGamesWon}</color> 次。\n你 <color=#cf0707>输了 {TableGamesLost}</color> 次。\n\n你 <color=#019245>赢得了 {TableCoinsWon}</color> <color=#fddc1e>金币</color>。\n你 <color=#cf0707>失去了 {TableCoinsLost}</color> <color=#fddc1e>金币</color>。,,,,,,
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,,,,,,,,,,,,,,,,
dialogue_traderSplit1,How may I serve you?,,Comment puis-je vous servir?,Come posso aiutarti?,,,,,Чем я могу служить вам?,何をいたしましょうか？,我可以为你服务吗？,,,Size nasıl hizmet edebilirim?,,,
dialogue_traderSplit1a,Heard anything interesting lately?,,Quelles sont les dernières nouvelles?,Quali sono le utime notizie?,,,,,Какие последние новости?,最近のニュースは？,最新的消息是什么？,,,En son haberler neler?,,,
dialogue_traderSplit1b,I'm here to shop.,,Je souhaite commercer,Vorrei fare degli acquisti,,,,,Я хочу торговать,取引したい,我想做笔买卖,,,Ticaret yapmak istiyorum,,,
dialogue_traderSplit2,We currently have a sale going on. Be sure to buy while you can!,,Des offres spéciales sont toujours à prévoir!,Le offerte speciali sono sempre dietro l'angolo!,,,,,Всегда стоит ожидать специальных предложений!,特別なオファーには必ず期待が持てます!,特价商品总是让人期待！,,,Özel teklifler her zaman beklenir!,,,
dialogue_traderSplit2a,Very good.,,Super!,Molto Bene!,,,,,Очень хорошо!,ベリーナイス！,棒极了！,,,Çok iyi!,,,
dialogue_traderSplit2b,I'll pass.,,Au revoir.,Saluti!,,,,,До свидания.,Bye.,拜拜。,,,Hoşçakal.,,,
dialogue_O2uWK,I've spent too long away from my family... My contract is almost up and i'll finally be able to go home.,,Ma famille me manque. J'espère que je les verrai bientôt.,Mi manca la mia famiglia. Spero di rivederli presto.,,,,,"Я скучаю по семье. Надеюсь, я скоро их увижу.",家族に会いたい。早く会えることを願っている。,我想念我的家人。我希望能尽快见到他们。,,,Ailemi özledim. Umarım yakında görüşürüz.,,,
dialogue_CKKaK,I heard there are fish up in the ponds on the Presidium. Do you think that's true?,,Ma famille me manque. J'espère qu'ils vont bien.,Penso sempre alla mia famiglia. Spero stiano tutti bene.,,,,,"Я скучаю по семье. Жертвы, которые мы приносим.",家族に会いたい。我々が行う犠牲。,我想念我的家人。我们对此做出了巨大的牺牲。,,,Ailemi özledim. Uğruna yaptığımız fedakarlıklar.,,,
dialogue_W8uBS,"Polaris has good prices but poor quality merchandise. On the other hand, the Trade Federation's products are always top quality but are too expensive for my budget. What should I do?",,La Guilde des commerçants a des prix vraiment scandaleux.,La Gilda dei Commercianti ha veramente dei prezzi scandalosi.,,,,,У торговой федерации плохие цены.,通商連合にはいくつかの悪い価格がある。,贸易商会的出价不怎么样。,,,Ticaret federasyonunun bazı kötü fiyatları var.,,,
dialogue_wWKTq,I heard an idiot keep insisting that TOP brewery makes root beer! That stuff has enough alcohol to degrease an engine!\nI know for a fact that you can treat infected wounds and dermal parasites with it!,,La bière de racine de cette galaxie est vraiment bonne!,La birra di radice di questa galassia è davvero buona!,,,,,Рутбир в этой галактике действительно хорош!,この銀河のルートビールは本当にうまい！,这个星系的树根啤酒真的很好喝!,,,Bu galaksideki kök birası gerçekten çok iyi!,,,
dialogue_oKiaa,"I hear someone talking about a new simulation today, it's called 'Project Eden' and they say it is great!",,"J'entends parler aujourd'hui d'une nouvelle simulation, ça s'appelle «Projet Eden» et il parait que c'est génial!",,,,,,"Я слышал, как сегодня кто-то говорит о новой симуляции, она называется «Проект Эдем», и они говорят, что она великолепна!",今日誰かが新しいシミュレーションの話をしているのを聞いたよ、「プロジェクト・エデン」と呼ばれて、すごいらしいよ！,我今天听到有人在说一个新的模拟类游戏，叫什么'伊甸园计划'，他们说这个游戏玩起来很棒！(译者注:伊甸园计划是一个社区制作的游戏场景),,,,,,
dialogue_aq0uu,I'm tired of life on this space station. Maybe I should sign up for one of the colonies in the outer reaches?,,Francis Taelyn vient d'annoncer une nouvelle version «IU». Elle aurait de jolies couleurs.,,,,,,"Фрэнсис Тэлин только что анонсировал новую версию «UI». Я слышал, у нее красивые цвета.",Francis Taelynが「UI」の新バージョンを発表しました。いい色になっているそうです。,Francis Taelyn刚刚公布了新版本的一个 'UI'。我听说它的颜色非常漂亮。(译者注:Francis Taelyn是游戏制作者之一),,,,,,
dialogue_4exuC,Why are there so few variants of alien life in this galaxy? You'd expect to see at least <i>something </i>different on each planet!,,Le pouvoir aux.. tentacules!,Potere ai .. tentacoli!,,,,,Сила .. тентаклей!,パワーを...触手に!,触手的...力量！,,,,,,
dialogue_OqiK0,Have you heard of 'Discord'? I heard they're a music group from Baymax 6.,,J'ai entendu parler d'un nouveau groupe de musique. Ils se font appeller «Discord».,Ho sentito parlare di un nuovo gruppo musicale. Si fanno chiamare 'Discord'.,,,,,Я слышал о создании новой музыкальной группы. Они называют себя Discord.,新しい音楽グループが結成されたと聞いた。彼らは「不協和音」と名乗っています。,我听说有一个新的音乐团体成立了。他们自称 'Discord'。,,,,,,
dialogue_4ieSe,"I heard strange noises coming from a vent on the last colony I visited, I couldn't sleep at all.",,"J'ai entendu des bruits étranges provenant d'une bouche d'aération sur la dernière colonie que nous avons visitée, je n'ai pas du tout pu dormir.",,,,,,"Я слышал странные звуки, доносящиеся из вентиляционного отверстия последней посещенной нами колонии, и не мог спать из за этого.",前に行ったコロニーの通気孔から異音が聞こえてきて、全然眠れなかった。,我听到了奇怪的声音，好像是我们上次去的殖民地通风口发出的声音，我现在根本睡不着。,,,,,,
dialogue_uqqiK,I can't wait to ship out of this dump. The goons from HabSec keep conducting 'random' searches on my bags. It's clearly discrimination!,,Côté planète est ma préférence.,Mi piace stare dalla parte del pianeta.,,,,,Мне нравится смотреть на планету.,惑星側に行くのが好きなんだ。,我喜欢去星球的另一边。,,,,,,
dialogue_3uku4,"A lot of people complain about the Zirax's governing. Honestly, I think they're fine. They could've regressed into complete tyranny but have kept to their treaties and keep the galaxy safe.",,Les Zirax sont d'excellents dirigeants. Aucune réglementation!,Gli Zirax sono ottimi governatori. Nessun regolamento!,,,,,Зиракс - прекрасные губернаторы. Никаких правил!,ジラックスは優れた統治者だ。規制がない！,兹瑞克斯是优秀的治理者。我们完全没有管制！,,,,,,
dialogue_mqS04,"I've heard that Vermillion of Forge Aerospace has been contracted by Rados to build new bases for them. He has an apartment on one of the trade stations, but I don't know which.",,Je préfère mourir plutôt que de payer plus d'impôts.,Preferirei morire piuttosto che pagare più tasse.,,,,,"Я лучше умру, чем буду платить больше налогов.",これ以上税金を払うくらいなら死んだ方がマシだ。,我宁可死也不愿意多交税。,,,,,,
dialogue_We84e,I'm looking for ship to Farpoint Station. Are you a Federation captain? No? Oh well.,,"Il n'y a pas de lendemain, seulement aujourd'hui!","Non c'è un domani, il presente è oggi!",,,,,"Там нет завтра, только сегодня!",明日はない、今日だけだ！,世上没有明天，只有今天！,,,,,,
dialogue_uECW0,I saw an idiot flying a Naginata the other day. I suppose 'crashing' is probably the better term. Smashed right into the ground outside an Abyssal fortress on a Plasma planet!,,Cet emplacement a de nombreux avantages.,Questo luogo ha molte belle qualità.,,,,,У этого места много хороших качеств.,この場所には多くの素晴らしい資質があります。,这个地方是个风水宝地。,,,,,,
dialogue_6pmsM,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_0EuCe,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
