KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
AlienBlocks,Alien Hull Blocks,Alien Baublöcke,Blocs Alien,Blocchi da Costruzione Alieni,Bloques de construcción alienígena,Blocos de Construção Alien,Blocos de Construção Alienígena,,Строительные блоки инопланетян,エイリアンブロック,外星建筑方块,外星建築方塊,외계 빌딩 블록,,,Buitenaardse blokken,Khối xây dựng ngoài hành tinh
AlienFull,Xenomaterial,Alienblock,Bloc Alien,Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alienígena,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,,,Buitenaards blok,Khối ngoài hành tinh
AlienThin,Xenomaterial,Alienblock,Bloc Alien,Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alienígena,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,,,Buitenaards blok,Khối ngoài hành tinh
ConcreteDestroyedBlocks,Concrete Blocks (Damaged),Betonblöcke - zerstört,Blocs béton - détruits,Blocchi di Calcestruzzo - Distrutti,Bloques de hormigón - Destruido,Blocos de Cimento - Destruídos,Blocos de Concreto - Destruído,,Бетонные блоки - разбитые,コンクリート - 破損,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,,,Beton blokken - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteFullDestroyed,Concrete Block (Damaged),Betonblock - zerstört,Bloc béton - détruit,Blocco di Calcestruzzo - Distrutto,Bloque de hormigón - Destruido,Bloco de Cimento - Destruído,Bloco de Concreto - Destruído,Blok betonowy - zniszczony,Бетонный блок - разбитый,コンクリート - 破損,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,,,Beton blok - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteThinDestroyed,Concrete Thin Block (Damaged),Betonblöcke (dünn) - zerstört,Blocs béton (fin) - détruits,Blocchi di Calcestruzzo (Sottile) - Distrutti,Bloques de hormigón (delgado) - Destruido,Blocos de Cimento (finos) - Destruídos,Blocos de Aço (fino) - Destruído,"Bloki betonowe, płaskie, zniszczone (grupa)",Бетонные блоки (тонкие) - разбитые,コンクリート (薄型) - 破損,水泥方块 (薄型) - 已损毁,混凝土方塊（薄） - 已摧毀,콘크리트 블록(얇음) - 파괴됨,,,Beton blokken (Smal) - Vernietigd,Khối bê tông (mỏng) - Đã bị phá huỷ
ConcreteBlocks,Concrete Blocks,Betonblöcke,Blocs béton,Blocchi di Calcestruzzo,Bloques de hormigón,Blocos de Cimento,Blocos de Concreto,,Бетонные блоки,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blokken,Khối bê tông
ConcreteFull,Concrete Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blok,Khối bê tông
ConcreteThin,Concrete Thin Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blok,Khối bê tông
ConcreteThinBlocks,Concrete Thin Blocks,Betonblöcke (dünn),Blocs béton (fin),Blocchi di Calcestruzzo (Sottile),Bloques de hormigón(delgado),Blocos de Cimento (finos),Blocos de Concreto (fino),"Bloki betonowe, płaskie (grupa)",Бетонные блоки (тонкие),コンクリート (薄型),水泥方块 (薄型),混凝土方塊（薄）,콘크리트 블록(얇음),,,Beton blokken (Smal),Khối bê tông (mỏng)
