KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iG40h,[b]Prologue:[/b] [b][c][00fbff]Journey into the unknown[-][/c][/b],,,,,,,,,,[b]序章：[/b][b][c][00fbff]进入未知之旅[-][/c][/b],,,,,,
pda_mKuKK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou crawl from the wreckage of your escape pod to find yourself injured and alone on an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.",,,,,,,,,,[b][c][00fbff]序章：进入未知[-][/c][/b]\n\n你从逃生舱的残骸中爬出来，发现自己受伤且孤独地置身于一个未知的世界。没有记忆告诉你是如何来到这里的，手头的资源也寥寥无几，但你宇航服收音机的噼啪声指引你向着这个外星星球的荒野中某处可能的答案前进。,,,,,,
pda_isaCK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.\n\n***\n[c][1083fe]This is the beginning of the main Empyrion Storyline[-][/c]",,,,,,,,,,[b][c][00fbff]序章：踏入未知之旅[-][/c][/b]\n\n你在一艘受损的逃生舱中醒来，它在穿越一个未知世界的大气层后坠落，你受伤了，孤身一人。\n你不记得自己是如何来到这里的，手头的资源非常有限，而你宇航服无线电的噼啪声指引你踏上了寻找答案的道路，答案可能就隐藏在这个外星世界的荒野之中。\n\n***\n[c][1083fe]这是Empyrion主要故事线的开始[-][/c],,,,,,
pda_4uW88,"[b][c][ff0000]Important !![-][/c][/b]\nYou can activate the main storyline missions via PDA (F1) at any time.\n\nPlease bear in mind, the storyline consists of consecutively linked chapters. Starting the storyline while having played for a while, sometimes might lead to its missions, related POI and the order of events [u]not working as expected anymore[/u].",,,,,,,,,,[b][c][ff0000]重要!![-][/c][/b]\n你可以随时通过PDA (F1键) 激活主线任务。\n\n请注意，故事情节由连续链接的章节组成。如果在游戏进行一段时间后开始故事情节，有时可能会导致其任务、相关的兴趣点（POI）和事件顺序[u]不再按预期工作[/u]。,,,,,,
pda_t8uSu,A whole new world,,,,,,,,,,一个全新的世界。,,,,,,
pda_OHW4q,Recollections,,,,,,,,,,,,,,,,
pda_gLC84,===,,,,,,,,,,,,,,,,
pda_44CuO,Wh... What happened to the station?! To the Crew?!\nI've got to contact the fleet!,,,,,,,,,,,,,,,,
pda_m00mm,Transmitting,,,,,,,,,,,,,,,,
pda_40bGa,Static,,,,,,,,,,,,,,,,
pda_cVmKO,===,,,,,,,,,,,,,,,,
pda_r08G8,[b][c][a1a1a1]< Radio Static >[-][/c][/b],,,,,,,,,,,,,,,,
pda_8SOmG,The Signal,,,,,,,,,,,,,,,,
pda_4W48m,Unknown Source,,,,,,,,,,,,,,,,
pda_2SmuW,===,,,,,,,,,,,,,,,,
pda_u0u8q,[b][c][a1a1a1]< Static > [-][/c][c][00e1ff]...ntelli...data...signal...radi...cal...ration...assist...transm...on...oceed...[-][/c][c][a1a1a1] < Static >[-][/c][/b],,,,,,,,,,,,,,,,
pda_m4We4,Hope rising,,,,,,,,,,,,,,,,
pda_Cui84,Boosting the signal,,,,,,,,,,,,,,,,
pda_sWeam,===,,,,,,,,,,,,,,,,
pda_e0m8O,But I can't understand what they're saying.\nI need some way to clean up their transmission...\n\nThere's probably [c][fbff00]an Antenna[-][/c] among some of the wreckage on the ground that I can use to boost the signal strength. It's just a matter of finding a functional device.,,,,,,,,,,,,,,,,
