KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_O7KfC4q,@q0 @d1\nName is optional. \n@w2\nDepends if this <i><b>Human </b></i><color=#ffffff>makes itself one.</color>,,,,,,,,,,@q0 @d1\n名字是可选的。\n@w2\n取决于这个<i><b>人类</b></i><color=#ffffff>是否给自己取一个。</color>,,,,,,
dialogue_0CGeK8C,<color=#c0c0c0>The </color><color=#0080ff><b>Captain</b></color>,,,,,,,,,,<color=#c0c0c0>船长</color><color=#0080ff><b>Captain</b></color>,,,,,,
dialogue_qeumKim,"@q0 @d1\nWe should not stay here. - @w1  - Sensors are calm, but got <b><i>baad feelings</i></b>, and all that.\n@w2\nAnd <color=#ffffff>Galleon</color> is already exploding things.",,,,,,,,,,@q0 @d1\n我们不应该待在这里。- @w1  - 传感器平静，但有<b><i>不好的感觉</i></b>，诸如此类。\n@w2\n而且<color=#ffffff>Galleon</color>已经在引爆东西了。,,,,,,
dialogue_CKaCSiU,I will check ... <color=#ffffff>[Skip all]</color>,,,,,,,,,,我会检查……<color=#ffffff>[跳过全部]</color>,,,,,,
dialogue_3ui4We4,Why did you lock the Bunk door?,,,,,,,,,,你为什么锁上了舱门？,,,,,,
dialogue_O0GiWe4,"@q0 @d1 Then get going<i>, </i>Human.\n@w1\n<i><b>Earn </b>your ride.</i>\n@w1<i></i>\n... Your <color=#ffffff>home fleet </color>isn't waiting ...",,,,,,,,,,@q0 @d1 那就出发吧<i>，</i>人类。\n@w1\n<i><b>赢得</b>你的乘坐机会。</i>\n@w1<i></i>\n……你的<color=#ffffff>家乡舰队</color>不会等待……,,,,,,
dialogue_qW4i0i8,@q0 \n@d1 I will surely miss your<i> <b>art</b>...</i>,,,,,,,,,,@q0 \n@d1 我一定会想念你的<i><b>艺术</b>...</i>,,,,,,
dialogue_8AY8mMK,>>,,,,,,,,,,>>,,,,,,
dialogue_m4q88ea,@q0 @d1\nReally impressive.\n@w1\n... Maybe we can get into a <b>future cooperation </b>about this.,,,,,,,,,,@q0 @d1\n真的令人印象深刻。\n@w1\n……也许我们可以就此事进行<b>未来的合作</b>。,,,,,,
dialogue_8aG4GGW,The fleet... <i>How long</i> did you know about it ?!,,,,,,,,,,舰队……<i>你知道多久了</i>？！,,,,,,
