KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
lblPreambleHeading,Prologue,Prolog,Prologue,Prologo,Prólogo,,Prólogo,,Пролог,,序言,,,,,,
npcTalkDialogue,Press {{0}} to interact to {0},Drücke {{0}} um mit {0} zu interagieren,Appuyez sur {{0}} pour interagir avec {0},Premi {{0}} per interagire con {0},Pulsa {{0}} para interactuar con {0},Carrega em {{0}} para falar com {0},Pressione {{0}} para interagir com {0},"Naciśnij {{0}}, aby porozmawiać z {0}","Нажмите {{0}}, чтобы взаимодействовать с {0}","{{0}}を押して, {0}に話しかける",按{{0}}与{0}互动,按{{0}}與{0}交談,,,Πάτησε {{0}} για να μιλήσεις στον {0},,Nhấn {{0}} để nói chuyện với {0}
ls0,New adventures can be found in the dense Space Fog,Neue Abenteuer finden sich im dichten Weltraumnebel,De nouvelles aventures se trouvent dans l'épais Brouillard Spatial,Nuove avventure possono essere trovate nella densa Nebbia Spaziale,Nuevas aventuras se pueden encontrar en la densa Niebla Espacial,,Novas aventuras podem ser encontradas na densa Névoa Espacial,,Новые приключения можно найти в густом Космическом Тумане,,在浓密的空间雾中可以发现新的冒险,,,,,,
ls1,Kill the Xeno Queen as fast as possible before she lays eggs,"Töte die Xenokönigin so schnell wie möglich, bevor sie Eier legt",Tuez la Reine Xeno le plus rapidement possible avant qu'elle ne pond des œufs,Uccidi la Regina Xeno il più velocemente possibile prima che deponga le uova,Mata a la Reina Xeno lo más rápido posible antes de que ponga huevos,,Mate a Rainha Xeno o mais rápido possível antes que ela ponha ovos,,"Убейте Королеву Ксено как можно быстрее, прежде чем она снесет яйца",,尽快击杀异形女王，防止她产卵,,,,,,
ls2,The Dark Pillar is the start and end of all corruption. Destroy the base of it at all cost,Der Dunkle Pfeiler ist der Anfang und das Ende aller Korrumpierung. Zerstöre seine Basis um jeden Preis,Le Pilier Obscur est le début et la fin de toute corruption. Détruisez la base à tout prix,Il Pilastro Oscuro è l'inizio e la fine di tutta la corruzione. Distruggi la base a tutti i costi,El Pilar Oscuro es el inicio y el fin de toda corrupción. Destruye su base a toda costa,,O Pilar Escuro é o início e o fim de toda corrupção. Destrua a base dele a todo custo,,Тёмная Колонна является началом и концом всей коррупции. Уничтожьте её основание любой ценой,,暗柱是所有腐化的开始和终点。不惜一切代价摧毁它的基座,,,,,,
ls3,The Research HQ provides the needed help to defeat the Dark Faction,,,,,,,,,,研究总部提供帮助以击败黑暗派系,,,,,,
DF_MeleeSword,Symelite alloy sword,Symelite legiertes Schwert,Épée en alliage de Symélite,Spada in lega di Symelite,Espada de aleación de Symelita,,Espada de liga de Symelita,,Меч из сплава Симелита,,赛米莱特合金剑,,,,,,
DF_ItemInfo_DF_MeleeSword,"[c][ffffff][i]At last! Our exhaustive research culminates in this sword - a fusion of all our efforts. Through tireless experimentation, we've forged a unique alloy using the artificial Symelite organism. This alloy stands as our sole means to effectively obliterate the Symelite test objects we've struggled to contain.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Unlock with: [-][/c][c][fdb100]Research Station (Symelite)[-][/c][/i]","[c][ffffff][i]Zu guter Letzt! Unsere umfassende Forschung gipfelt in diesem Schwert – einer Verschmelzung all unserer Bemühungen. Durch unermüdliches Experimentieren haben wir eine einzigartige Legierung aus dem künstlichen Symelite-Organismus geschmiedet. Diese Legierung ist unser einziges Mittel, um die Symelite-Testobjekte, die wir nur mit Mühe eindämmen konnten, wirksam zu vernichten.[/i][-][/c]\n[i][c][fdb100]Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Freischalten mit: [-][/c][c][fdb100]Forschungsstation (Symelit)[-][/c][/i]","[c][ffffff][i]Enfin ! Nos recherches exhaustives aboutissent à cette épée - une fusion de tous nos efforts. Grâce à des expérimentations inlassables, nous avons forgé un alliage unique utilisant l'organisme artificiel Symélite. Cet alliage se présente comme notre seul moyen d'éliminer efficacement les objets de test Symélite que nous avons eu du mal à contenir.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Débloquez avec : [-][/c][c][fdb100]Station de Recherche (Symélite)[-][/c][/i]","[c][ffffff][i]Finalmente! La nostra esaustiva ricerca culmina in questa spada - una fusione di tutti i nostri sforzi. Attraverso sperimentazioni instancabili, abbiamo forgiato una lega unica utilizzando l'organismo artificiale Symelite. Questa lega rappresenta il nostro unico mezzo per obliterare efficacemente gli oggetti di prova Symelite che abbiamo faticato a contenere.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Sblocca con: [-][/c][c][fdb100]Stazione di ricerca (Symelite)[-][/c][/i]","[c][ffffff][i]¡Por fin! Nuestra exhaustiva investigación culmina en esta espada, una fusión de todos nuestros esfuerzos. A través de incansables experimentos, hemos forjado una aleación única usando el organismo artificial de Symelita. Esta aleación se erige como nuestro único medio para obliterar eficazmente los objetos de prueba de Symelita que hemos luchado por contener.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Desbloquear con: [-][/c][c][fdb100]Estación de Investigación (Symelita)[-][/c][/i]",,"[c][ffffff][i]Finalmente! Nossa pesquisa exaustiva culmina nesta espada - uma fusão de todos os nossos esforços. Através de experimentação incansável, forjamos uma liga única usando o organismo artificial de Symelita. Esta liga representa nosso único meio de obliterar efetivamente os objetos de teste de Symelita com os quais lutamos para conter.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Desbloqueie com: [-][/c][c][fdb100]Estação de Pesquisa (Symelita)[-][/c][/i]",,"[c][ffffff][i]Наконец! Наше исчерпывающее исследование завершается этим мечом - синтезом всех наших усилий. Благодаря неустанному экспериментированию, мы создали уникальный сплав с использованием искусственного организма Симелита. Этот сплав является нашим единственным средством для эффективного уничтожения объектов испытаний Симелита, с которыми нам было трудно справиться.[/i][-][/c]\n[i][c][fdb100]Доктор Обински[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Разблокировать с помощью: [-][/c][c][fdb100]Исследовательская Станция (Симелит)[-][/c][/i]",,[c][ffffff][i]终于！我们穷尽研究的成果汇聚于此剑——我们所有努力的融合。通过不懈的实验，我们使用人造赛米莱特生物锻造出了独特的合金。这种合金是我们有效消灭一直难以控制的赛米莱特测试对象的唯一手段。[/i][-][/c]\n[i][c][fdb100]奥宾斯基博士[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]解锁方式：[-][/c][c][fdb100]赛米莱特研究站[-][/c][/i],,,,,,
DF_MeleeSword_02,Laser Sword,Laser Sword,Épée Laser,Spada Laser,Espada Láser,,Espada a Laser,,Лазерный Меч,,激光剑,,,,,,
DF_ItemInfo_DF_MeleeSword_02,[c][ffffff][i]After few failed attempts this is our established Symelite sword. It worked very effective against our test objects. [/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Unlock with: [-][/c][c][fdb100]Research Station (Symelite)[-][/c][/i],"[c][ffffff][i]Nach einigen gescheiterten Versuchen ist dies unser erstes funktionierendes Symelite-Schwert! Bei unseren Testobjekten hat es sehr effektiv funktioniert. Wir müssen immer noch einen Weg finden, es haltbarer zu machen.[/i][-][/c]\n[i][c][fdb100]Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Freischalten mit: [-][/c][c][fdb100]Forschungsstation (Symelit)[-][/c][/i]","[c][ffffff][i]Après quelques tentatives échouées, voici notre épée Symélite établie. Elle a été très efficace contre nos objets de test.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Débloquez avec : [-][/c][c][fdb100]Station de Recherche (Symélite)[-][/c][/i]",[c][ffffff][i]Dopo alcuni tentativi falliti questa è la nostra spada Symelite stabilita. Ha funzionato molto efficacemente contro i nostri oggetti di prova.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Sblocca con: [-][/c][c][fdb100]Stazione di ricerca (Symelite)[-][/c][/i],"[c][ffffff][i]Después de algunos intentos fallidos, esta es nuestra espada Symelita establecida. Funcionó muy eficazmente contra nuestros objetos de prueba.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Desbloquear con: [-][/c][c][fdb100]Estación de Investigación (Symelita)[-][/c][/i]",,"[c][ffffff][i]Após algumas tentativas fracassadas, esta é a nossa espada de Symelita estabelecida. Funcionou muito eficazmente contra nossos objetos de teste.[/i][-][/c]\n[i][c][fdb100]Dr. Obinski[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Desbloqueie com: [-][/c][c][fdb100]Estação de Pesquisa (Symelita)[-][/c][/i]",,[c][ffffff][i]После нескольких неудачных попыток это наш утверждённый меч Симелита. Он оказался очень эффективным против наших тестовых объектов.[/i][-][/c]\n[i][c][fdb100]Доктор Обински[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]Разблокировать с помощью: [-][/c][c][fdb100]Исследовательская Станция (Симелит)[-][/c][/i],,[c][ffffff][i]经过几次失败尝试，这是我们确立的赛米莱特剑。它对我们的测试对象非常有效。[/i][-][/c]\n[i][c][fdb100]奥宾斯基博士[-][/c][/i]\n[c][ffffff][i]- - -[/i][-][/c]\n[i][c][ffffff]解锁方式：[-][/c][c][fdb100]赛米莱特研究站[-][/c][/i],,,,,,
