KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
amwCoordinates,Coordinates:,Koordinaten:,Coordonnées :,Coordinate:,Coordenadas:,Coordenadas:,Coordenadas:,Współrzędne:,Координаты:,座標:,坐标:,座標:,좌표:,,Συντεταγμένες:,Coördinaten,Tọa độ:
amwMarkerIcon,Marker Icon:,Icon:,Icône du marqueur :,Icona Indicatore:,Icono del Marcador:,Ícone Marcador:,Icone de Marcação:,Ikona:,Значок маркера:,アイコン:,标记图标:,標記圖示:,마커 아이콘:,,Εικονίδιο Δείκτη:,Marker Icoon,Biểu tượng điểm đánh dấu:
amwMarkerName,Marker Name:,Name:,Nom du marqueur :,Nome Indicatore:,Nombre del Marcador:,Nome Marcador:,Nome da Marcação:,Nazwa:,Имя маркера:,マーカー名:,标记名称:,標記名稱:,마커 이름:,,Όνομα Δείκτη:,Marker Naam,Tên điểm đánh dấu:
amwRemoveonApproach,Remove on Approach,Bei Annäherung entfernen,Supprimer en approche,Rimuovi in Prossimità,Eliminar al acercarse,Remover com Aproximação,Remover ao Aproximar-se,Usuń po osiągnięciu,Удалить при приближении,到着後に削除,接近后删除,接近時移除,접근 시 제거,,Αφαίρεση κατά την Άφιξη,Verwijder bij benadering,Xóa khi tiếp cận
amwShowonHud,Show on HUD,Auf HUD anzeigen,Afficher sur le HUD,Mostra su HUD,Mostrar en HUD,Mostrar no HUD,Mostrar no HUD,Wyświetl w HUD,Показать на HUD,HUDに表示,在小地图显示,在抬頭顯示器顯示,HUD에 표시,,Προβολή στο HUD,Laat op HUD zien,Hiển thị trên HUD
amwTitleAdd,ADD MAP MARKER,KARTENMARKER HINZUFÜGEN,AJOUT DE MARQUEUR GPS,AGGIUNGI INDICATORE,AÑADIR MARCADOR DE MAPA,ADICIONAR MARCADOR MAPA,ADICIONAR MARCAÇÃO NO MAPA,DODAJ NOWY ZNACZNIK,ДОБАВИТЬ МАРКЕР КАРТЫ,マップマーカーを追加,添加地图标记,加入地圖標記,加入地圖標記,,ΠΡΟΣΘΗΚΗ ΔΕΙΚΤΗ ΣΤΟ ΧΑΡΤΗ,Markeerpunt toevoegen,THÊM ĐÁNH DẤU
amwWaypoint,Waypoint,Wegpunkt,Waypoint,Indicatore,Punto de Ruta,Ponto de passagem,Waypoint,Punkt nawigacyjny,Маршрут,ウェイポイント,航点指引,路標點,웨이포인트,,Διαδρομή,Routepunt,Điểm đến
lkwArmorName,Name:,Name:,Nom:,Nome:,Nombre:,Nome:,Nome:,Nazwa:,Имя:,名称:,名称:,名稱:,이름:,,Όνομα:,Naam,Tên:
lkwArmorSlot,Armour,Schutzanzug,Armure,Armatura,Armadura,Armadura,Armadura,Pancerz,Броня,アーマー,护甲,護甲,아머,,Πανοπλία,Bepantsering,Áo giáp
lkwArmorStats,ARMOUR STATS,RÜSTUNGSWERTE,STATS ARMURE,STATISTICHE ARMATURA,ESTADÍSTICAS DE ARMADURA,ESTATÍSTICAS ARMADURA,ESTATUS DA ARMADURA,PARAMETRY SKAFANDRA,ХАРАКТЕРИСТИКИ БРОНИ,アーマー性能,护甲状态,護甲屬性,아머 상태,,ΣΤΑΤΙΣΤΙΚΑ ΠΑΝΟΠΛΙΑΣ,Bepantsering statistieken,THỐNG KÊ ÁO GIÁP
lkwBoosterSlot,Boosters,Booster:,Boosters,Potenziamenti,Refuerzos,Propulsores,Aperfeiçoamentos,Dopalacze,Усилители,ブースター:,护甲强化器,強化,부스터,,,Boosters,Nâng cấp
lkwColdResistance,Cold Resistance:,Kälteresistenz:,Tolérance au froid:,Resistenza al Freddo:,Resistencia al frío:,Resistência ao frio:,Resistência ao Frio:,Odporność na chłód:,Устойчивость к холоду:,耐寒性:,寒冷抗性:,抗寒冷性:,내한성:,,,Koude bestendigheid,Kháng lạnh:
lkwComfortZone,Comfort Zone (Temp.):,Komfortbereich (Temp.):,Zone de confort (Temp.):,Zona di Comfort (Temp.):,Zona de confort (Temp.):,Zona de conforto (Temp.):,Zona de Conforto (Temp.):,Zakres ochrony (temp.):,Зона комфорта (темп.):,適応範囲 (温度):,舒适区间 (温度):,舒適區間(溫度):,컴포트 존(임시):,,,,Vùng Thoải mái (Nhiệt độ):
lkwDurability,Durability:,Haltbarkeit:,Durabilité:,Durabilità:,Durabilidad:,Duração:,Durabilidade:,Wytrzymałość:,Прочность:,耐久値:,耐久值:,耐久度:,내구성:,,,Duurzaamheid,Độ bền:
lkwHeatResistance,Heat Resistance:,Hitzeresistenz:,Tolérance à la chaleur:,Resistenza al Calore:,Resistencia al calor:,Resistência ao calor:,Resistência ao Calor:,Odporność cieplna:,Устойчивость к жаре:,耐熱性:,炎热抗性:,抗炎熱性:,내열성:,,,Hitte bestendigheid,Khả năng chịu nhiệt:
lkwLocker,ARMOUR LOCKER,RÜSTUNGSSPIND,CASIER ARMURES,POSTAZIONE ARMATURA,DEPÓSITO DE ARMADURAS,ARMÁRIO PARA ARMADURA,ARMÁRIO DE ARMADURA,SZAFA NA SKAFANDER,ШКАФ АМУНИЦИИ,アーマーロッカー,护甲更衣柜,護甲櫃,아머 로커,,,UITRUSTINGS LOCKER,TỦ GIÁP
lkwRadiationLimit,Radiation Protection:,Strahlungslimit:,Protection contre les radiations:,Protezione Radiazioni:,Protección contra radiación:,Proteção contra radiações:,Prot. Contra Radiação:,Ochrona przed promieniowaniem:,Радиационная защита:,放射線防護:,辐射保护:,輻射防護:,방사선 방호:,,,Stralings limiet,Bảo vệ bức xạ:
