KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,Oh {PlayerName}. Ich sehe du hast eine heilige Statue unseres Volkes. Möchtest du sie mir geben?,Oh {PlayerName}. Je vois que vous possédez la sainte statue de notre peuple. Pouvez-vous nous la remettre?,Ah {PlayerName}. Vedo che sei in possesso della statua sacra del nostro popolo. Vuoi consegnarmela?,,,"Ora, {PlayerName}. Vejo que você possui a estátua sagrada de nosso povo. Gostaria de me entregar?",,"О {PlayerName}. Я вижу, у вас есть священная статуя нашего народа. Ты хочешь отдать ее мне?",おお {PlayerName} . 我々の民の聖なる像を持っているようだな. それを私に渡したいと思わないか？,哦 {PlayerName}。我看到你拥有我们民族的圣像。你想把它交给我吗？,哦{playername}。我看到你有人民的神聖雕像。你想把它給我嗎？,,,Ωω {PlayerName}. Βλέπω ότι έχεις το ιερό άγαλμα του λαού μας. Θέλεις να μου το δόσεις;,,Ôi {PlayerName}. Tôi thấy bạn có bức tượng thánh của người dân chúng tôi. Bạn có muốn đưa nó cho tôi không?
dlgTCBadRepu,"You need a friendly reputation or better with the Talon, then I will talk to you.","Du benötigst eine freundliche Beziehung oder besser zu den Talon, dann werde ich mit dir reden.","Tu as besoin d'une réputation amicale ou meilleure avec le Talon, alors je te parlerai.",,,,,,,,你需要与泰隆有友好的声望或更好，之后我才会与你交谈。,,,,,,
dlgTCTellMeStory,Tell me the story of your people,Erzähl mir die Geschichte deines Volkes,Raconte-moi l'histoire de ton peuple,,,,,,,,告诉我你们民族的故事1,,,,,,
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,Gegrüßt seist du {PlayerName}. Was möchtest du von mir?,Salutations {PlayerName}. Que voulez-vous de moi?,Salve {PlayerName}. Di cosa hai bisogno?,,,"Saudações, {PlayerName}. O que espera de mim?",,"Приветствую, {PlayerName}. Что ты от меня хочешь?",こんにちは {PlayerName}. 私に何をして欲しいのか？,欢迎 {PlayerName}。你想要从我这里得到什么？,你好{PlayerName}。你想從我這裡得到什麼？,,,Χαιρετίσματα {PlayerName}. Τι θέλεις από εμένα;,,Xin chào {PlayerName}. Bạn muốn gì ở tôi?
txt_mWeCe,Welcome {PlayerName} to a round of cards!,Willkommen {PlayerName} zu einer Runde Karten!,Bienvenue {PlayerName} à la ronde des cartes!,"Benvenuto, {PlayerName}, al Giro delle Carte!",,,"Bem-vindo ao jogo de cartas, {PlayerName}!",,Добро пожаловать {PlayerName} в карточный раунд!,カード勝負にようこそ {PlayerName}！,欢迎 {PlayerName} 来到一场纸牌游戏！,歡迎{PlayerName}來一場牌局！,,,Καλώς Όρισες {PlayerName} σε έναν γύρω χαρτιών!,,Chào mừng {PlayerName} đến với một vòng chơi bài!
txt_UGmuO,Card Dealer,Kartengeber,Croupier,Mazziere,,,,,Дилер карт,カードディーラー,纸牌发牌员,卡片賭徒,,,Γκρουπιέρης,,Đại lý thẻ
txt_mq8OK,We will play for <color=#fddc1e>gold coins</color>.\nHow many <color=#fddc1e>gold coins</color> do you want to bet?,Wir spielen um <color=#fddc1e>Goldmünzen</color>.\nWie viele <color=#fddc1e>Goldmünzen</color> möchtest du setzen?,Nous jouerons pour des <color=#fddc1e>Pièces d'or</color>.\nCombien de <color=#fddc1e>Pièces d'or</color> voulez-vous parier?,Giocheremo per <color=#fddc1e>Monete d'Oro</color>.\nQuante <color=#fddc1e>Monete d'Oro</color> vuoi scommettere?,,,Vamos jogar por <color=#fddc1e>Moedas de Ouro</color>.\nQuantas <color=#fddc1e>Moedas de Ouro</color> quer apostar?,,Мы будем играть на <color=#fddc1e>Золотые монеты</color>.\nСколько <color=#fddc1e>Золотых монет</color> вы хотите поставить?,<color=#fddc1e>ゴールドコイン</color>で勝負します. \n何枚の<color=#fddc1e>ゴールドコイン</color>を賭けますか？,我们将用 <color=#fddc1e>金币</color> 进行游戏。\n你想下注多少 <color=#fddc1e>金币</color>？,我們將支付<color=#fddc1e>金幣</color>。\n你想賭<color=fddc1e>多少金幣</ color>您是否想下注？,,,Θα παίξουμε για <color=#fddc1e>Χρυσά Νομίσματα</color>.\nΠόσα <color=#fddc1e>Χρυσά Νομίσματα</color> θέλεις να στοιχιματίσεις;,,Chúng tôi sẽ chơi lấy <color=#fddc1e>Xu Vàng</color>. \nBạn muốn đặt cược bao nhiêu <color=#fddc1e> Xu vàng </color>?
txt_4WUCq,1 <color=#fddc1e>gold coin</color>,1 <color=#fddc1e>Goldmünze</color>,1 <color=#fddc1e>Pièce d'or</color>,1 <color=#fddc1e>Moneta d'Oro</color>,,,1 <color=#fddc1e>Moeda de Ouro</color>,,1 <color=#fddc1e>Золотую монету</color>,1 <color=#fddc1e>ゴールドコイン</color>,1 <color=#fddc1e>金币</color>,1 <color=#fddc1e>金幣</color>,,,1 <color=#fddc1e>Χρυσό Νόμισμα</color>,,1 <color=#fddc1e> Xu vàng </color>
txt_Zi4Gm,10 <color=#fddc1e>gold coins</color>,10 <color=#fddc1e>Goldmünzen</color>,10 <color=#fddc1e>Pièces d'or</color>,10 <color=#fddc1e>Monete d'Oro</color>,,,10 <color=#fddc1e>Moedas de Ouro</color>,,10 <color=#fddc1e>Золотых монет</color>,10 <color=#fddc1e>ゴールドコイン</color>,10 <color=#fddc1e>金币</color>,10 <color=#fddc1e>金幣</color>,,,10 <color=#fddc1e>Χρυσά Νομίσματα</color>,,10 <color=#fddc1e>Xu vàng </color>
txt_BxmOu,100 <color=#fddc1e>gold coins</color>,100 <color=#fddc1e>Goldmünzen</color>,100 <color=#fddc1e>Pièces d'or</color>,100 <color=#fddc1e>Monete d'Oro</color>,,,100 <color=#fddc1e>Moedas de Ouro</color>,,100 <color=#fddc1e>Золотых монет</color>,100 <color=#fddc1e>ゴールドコイン</color>,100 <color=#fddc1e>金币</color>,100 <color=#fddc1e>金幣</color>,,,100 <color=#fddc1e>Χρυσά Νομίσματα</color>,,100 <color=#fddc1e>Xu vàng</color>
txt_8cmWW,It seems you don't have enough <color=#fddc1e>gold coins</color>...get some and come back. Bye,"Es scheint, du hast nicht genug <color=#fddc1e>Goldmünzen</color>...besorg dir welche und komm zurück. Bye",Il semble que vous n'ayez pas assez de <color=#fddc1e>Pièces d'or</color>... Revenez me voir avec plus d'argent. Bye,Sembra tu non abbia abbastanza <color=#fddc1e>Monete d'Oro</color>...torna quando ne avrai a sufficienza. Ciao,,,Parece que não tem o bastante <color=#fddc1e>Moedas de Ouro</color>...Consiga algumas e volte mais tarde. Até,,"Похоже, вам не хватает <color=#fddc1e>Золотых монет</color>...раздобудьте немного и возвращайтесь. Пока.",<color=#fddc1e>ゴールドコイン</color>が足りないようですね...手に入れて戻ってきてください. さようなら.,看起来你没有足够的 <color=#fddc1e>金币</color>...去弄一些然后回来。再见,看來你沒有足夠的<color =＃fddc1e>金幣</color> ......等你有更多錢再回來找我。再見,,,Φαίνεται ότι δεν έχεις αρκετά <color=#fddc1e>Χρυσά Νομίσματα</color>...βρες μερικά και ξαναέλα. Αντίο,,Có vẻ như bạn không có đủ <color=#fddc1e> Xu vàngs </color> ... hãy lấy một ít và quay lại. Tạm biệt
