KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
Alien,[c][e6e6e6]Alien[-][/c],,,,,,,,,,外星人,,,,,,
UCH,[c][3333e6]United Council of Humanity (UCH )[-][/c],,,,,,,,,,[c][3333e6]人类联合理事会 (UCH )[-][/c],,,,,,
Trader,[c][99ffff]Traders Guild[-][/c],,,,,,,,,,[c][99ffff]贸易协会[-][/c],,,,,,
Pirates,[c][cccc00]Pirates[-][/c],,,,,,,,,,[c][cccc00]海盗部族[-][/c],,,,,,
Zirax,[c][e63333]Zirax Empire[-][/c],,,,,,,,,,[c][e63333]兹瑞克斯帝国[-][/c],,,,,,
Talon,[c][33e633]Talon Guardians[-][/c],,,,,,,,,,[c][33e633]泰隆守护者[-][/c],,,,,,
Polaris,[c][e69933]Polaris Megacorp[-][/c],,,,,,,,,,[c][e69933]极星巨型企业[-][/c],,,,,,
Kriel,[c][8000cc]Kriel Empire[-][/c],,,,,,,,,,[c][8000cc]克里尔帝国[-][/c],,,,,,
Civilian,[c][e6e6e6]Civilian[-][/c],,,,,,,,,,[c][e6e6e6]平民[-][/c],,,,,,
TheLegacy,[c][00ffab]The Legacy[-][/c],,,,,,,,,,[c][00ffab]遗留者[-][/c],,,,,,
Progenitor,[c][e6e6e6]Progenitor[-][/c],,,,,,,,,,[c][e6e6e6]始祖[-][/c],,,,,,
Void,[c][000000]VOID[-][/c],,,,,,,,,,[c][000000]虚空[-][/c],,,,,,
GLaD,[c][3333e6]GLaD[-][/c],,,,,,,,,,[c][3333e6]GLaD[-][/c],,,,,,
Colonists,[c][e6e6e6]Free Colonists[-][/c],,,,,,,,,,[c][e6e6e6]自由殖民者[-][/c],,,,,,
Tesch,[c][e63333]Tesch Collective[-][/c],,,,,,,,,,[c][e63333]泰施集团[-][/c],,,,,,
Abyssal,[c][e63333]House of Abyssal (Zirax Empire)[-][/c],,,,,,,,,,[c][e63333]阿比赛尔家族(兹瑞克斯帝国)[-][/c],,,,,,
Serdu,[c][e63333]House of Serdu (Zirax Empire)[-][/c],,,,,,,,,,[c][e63333]塞尔杜家族(兹瑞克斯帝国)[-][/c],,,,,,
Epsilon,[c][e63333]House of Epsilon (Zirax Empire)[-][/c],,,,,,,,,,[c][e63333]艾普西隆家族(兹瑞克斯帝国)[-][/c],,,,,,
Rados,[c][e63333]House of Rados (Zirax Empire)[-][/c],,,,,,,,,,[c][e63333]拉多斯家族(兹瑞克斯帝国)[-][/c],,,,,,
Ghyst,[c][e63333]House of Ghyst (Zirax Empire)[-][/c],,,,,,,,,,[c][e63333]吉斯特家族(兹瑞克斯帝国)[-][/c],,,,,,
Xenu,[c][e63333]House of Xenu (Zirax Empire)[-][/c],,,,,,,,,,[c][e63333]赛努家族(兹瑞克斯帝国)[-][/c],,,,,,
Farr,[c][ffe6b3]Brotherhood of Farr[-][/c],,,,,,,,,,[c][ffe6b3]法尔兄弟会[-][/c],,,,,,
Warlord,[c][e63333]Warlord[-][/c],,,,,,,,,,[c][e63333]军阀[-][/c],,,,,,
DESC,[c][e6e6e6]DESC[-][/c],,,,,,,,,,[c][e6e6e6]DESC[-][/c],,,,,,
Wastelanders,[c][b2664c]Wastelanders[-][/c],,,,,,,,,,[c][b2664c]Wastelanders[-][/c],,,,,,
ARC,[c][ffe5b2]ARC[-][/c],,,,,,,,,,[c][ffe5b2]ARC[-][/c],,,,,,
Eleon,[c][0066cc]Eleon Game Studios[-][/c],,,,,,,,,,[c][0066cc]Eleon游戏工作室[-][/c],,,,,,
TitanAsteroid,Titanium Asteroid,,,,,,,,,,钛小行星,,,,,,
PlatinAsteroid,Platinum Asteroid,,,,,,,,,,白金小行星,,,,,,
CPUExtenderLevel,CPU Extender Level,,,,,,,,,,CPU扩展器等级,,,,,,
bkiNoInfo,No information given,,,,,,,,,,未提供信息,,,,,,
bkiGenNoFunction,This device is not functional yet,,,,,,,,,,此设备目前还没有功能。,,,,,,
bkiDecoModel,Decoration device,,,,,,,,,,装饰用设备,,,,,,
bkiDetector,Allows to scan an area for structures and resources in range of the device.\n\nWorks on planets and in space,,,,,,,,,,允许扫描设备范围内的结构和资源。\n\n在行星和太空中工作,,,,,,
stiStationWelcome,WELCOME TO THE STATION INTERFACE AT {0},,,,,,,,,,欢迎来到{0}的站点界面,,,,,,
repInfoOverviewGeneral,Trading with a faction requires at least NEUTRAL reputation\nHONORED will get you a price cut when trading,,,,,,,,,,与派系交易至少需要中立声望\n尊敬将获得交易折扣,,,,,,
cplOPAlliances,ON: OP will Function when the whole Alliance is OFFLINE,,,,,,,,,,开启：当整个联盟离线时，OP将运行,,,,,,
igmGeneratorOverload,Overload damage detected!\nGenerator remaining health: {0} %,,,,,,,,,,检测到过载损坏!\n发电机剩余运行状况:{0} ％,,,,,,
DrillAttachmentSVT2,Drill Module (T2) - Laser (SV),,,,,,,,,,钻头模块（T2）- 激光（SV）,,,,,,
ttwHVConstructor,HV Constructor,,,,,,,,,,悬浮飞船建造机,,,,,,
igmFreighterCanNotBeControlled,This freighter can not be controlled,,,,,,,,,,此货舰不能操控,,,,,,
igmFreighterLastWarning,Freighter self desctruction sequence has been activated,,,,,,,,,,货轮自毁程序已激活,,,,,,
igmFreighterSelfDestruction,Freighter self desctruction sequence has been activated,,,,,,,,,,货轮自毁程序已激活,,,,,,
igmFreighterSpotted,Freighter has been spotted that carries valuable goods,,,,,,,,,,运有高价值物品的货舰已被发现,,,,,,
DrillAttachmentSVWeapon,Drill Module (SV),,,,,,,,,,钻头模块（SV）,,,,,,
TransportationBoost,Transportation Boost,,,,,,,,,,运输加成,,,,,,
TransportationBoostEpic,[c][c724b1]Transportation Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗运输加成[-][/c],,,,,,
EVABoostEpic,[c][c724b1]EVA Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗EVA加成[-][/c],,,,,,
RadiationBoostEpic,[c][c724b1]Radiation Protection Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗辐射防护加成[-][/c],,,,,,
MobilityBoostEpic,[c][c724b1]Mobility Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗机动性加成[-][/c],,,,,,
InsulationBoostEpic,[c][c724b1]Insulation Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗绝缘加成[-][/c],,,,,,
OxygenBoostEpic,[c][c724b1]Oxygen Tank Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗氧气罐加成[-][/c],,,,,,
MultiBoostEpic,[c][c724b1]Multi Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗多功能加成[-][/c],,,,,,
