KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
df_pda_OueaGCu,The Vanguard,Die Vanguard,La Vanguard,La Vanguard,La Vanguardia,,Vanguard,,Вангард,,先锋,,,,,,
df_pda_uu8eqC4,Find Lilly,Finde Lilly,Trouver Lilly,Trova Lilly,Encuentra a Lilly,,Encontre Lilly,,Найти Лилли,,找到莉莉,,,,,,
df_pda_84aGKWe,Check Lilly,Überprüfe Lilly,Vérifier Lilly,Controlla Lilly,Revisa a Lilly,,Verifique Lilly,,Проверить Лилли,,检查莉莉,,,,,,
df_pda_OCaqKa4,How long did I sleep? Lilly!,Wie lange habe ich geschlafen? Lilly!,Combien de temps ai-je dormi ? Lilly !,Quanto tempo ho dormito? Lilly!,¿Cuánto tiempo he dormido? ¡Lilly!,,Quanto tempo eu dormi? Lilly!,,Как долго я спал? Лилли!,,我睡了多久？莉莉！,,,,,,
df_pda_CCEaOOe,Oh no. No! NO! Lilly!!!,Oh nein. Nein! NEIN! Lilly!!!,Oh non. Non ! NON ! Lilly !!!,Oh no. No! NO! Lilly!!!,Oh no. ¡No! ¡NO! ¡Lilly!,,Oh não. Não! NÃO! Lilly!!!,,"О, нет. Нет! НЕТ! Лилли!!!",,哦不，不！不！莉莉！！！,,,,,,
df_pda_4C8i8mG,[ Present ] Find out what happened,"[ Gegenwart ] Finde heraus, was passiert ist",[ Présent ] Découvrir ce qui s'est passé,[ Presente ] Scopri cosa è successo,[ Presente ] Descubre qué pasó,,[ Presente ] Descubra o que aconteceu,,"[ Настоящее ] Узнать, что произошло",,[ Present ] 找出发生了什么,,,,,,
df_pda_amCIaOW,Grab your equipment,Nimm deine Ausrüstung,Prenez votre équipement,Prendi la tua attrezzatura,Recoge tu equipo,,Pegue seu equipamento,,Взять своё снаряжение,,拿起你的装备,,,,,,
df_pda_saCuA4b,What does she mean with infestation?,Was meint sie mit Befall?,Que veut-elle dire par infestation ?,Cosa intende con infestazione?,¿Qué quiere decir con infestación?,,O que ela quis dizer com infestação?,,Что она имеет в виду под заражением?,,她所说的感染是什么意思？,,,,,,
df_pda_SS48WGO,I better prepare for whatever there will come,"Ich sollte mich auf alles vorbereiten, was da kommen mag",Je ferais mieux de me préparer pour ce qui va arriver,È meglio che mi prepari per qualsiasi cosa verrà,Mejor prepárame para lo que venga,,É melhor me preparar para o que vier,,"Лучше подготовиться к тому, что будет дальше",,我最好为即将到来的一切做好准备,,,,,,
df_pda_maGKpO4,Search Dr. Obinski,Suche Dr. Obinski,Chercher Dr. Obinski,Cerca il Dr. Obinski,Busca al Dr. Obinski,,Procure o Dr. Obinski,,Найти доктора Обински,,搜查奥宾斯基博士,,,,,,
df_pda_CwSaa8m,Maybe I can find out who or what this is,"Vielleicht finde ich heraus, wer oder was das ist",Peut-être que je pourrais découvrir qui ou ce que c'est,Forse posso scoprire chi o cosa è questo,Quizás pueda averiguar quién o qué es esto,,Talvez eu possa descobrir quem ou o que é isso,,"Возможно, я смогу узнать, кто или что это такое",,也许我可以找出这是谁或什么,,,,,,
df_pda_4OSiomS,A sword?! Who is this?,Ein Schwert?! Wer ist das?,Une épée ?! Qui est-ce ?,Una spada?! Chi è questo?,¿Una espada? ¿Quién es este?,,Uma espada?! Quem é essa pessoa?,,Меч?! Кто это?,,一把剑？！这是谁的？,,,,,,
df_pda_qGqGmWq,Investigate the Infestation,Untersuche den Befall,Enquêter sur l'Infestation,Indaga sull'Infestazione,Investiga la Infestación,,Investigue a Infestação,,Исследовать Заражение,,调查感染,,,,,,
df_pda_OeGKweu,Find the origin,Finde den Ursprung,Trouver l'origine,Trova l'origine,Encuentra el origen,,Encontre a origem,,Найти источник,,找到源头,,,,,,
df_pda_e24GS8K,What happened to our ship?,Was ist mit unserem Schiff passiert?,Qu'est-il arrivé à notre vaisseau ?,Cosa è successo alla nostra nave?,¿Qué le pasó a nuestra nave?,,O que aconteceu com nosso navio?,,Что случилось с нашим кораблём?,,我们的船发生了什么？,,,,,,
df_pda_KumGC48,Our ship! Lilly! She died from this?!?,Unser Schiff! Lilly! Sie ist daran gestorben?!?,Notre vaisseau ! Lilly ! Elle est morte à cause de ça ?!,La nostra nave! Lilly! È morta per questo?!?,¡Nuestra nave! ¡Lilly! ¿Murió por esto?,,Nosso navio! Lilly! Ela morreu disso?!?,,Наш корабль! Лилли! Она умерла от этого?!?,,我们的船！莉莉！她就是死于此事？！,,,,,,
df_pda_oi6OOmD,Kill an Intruder,Töte einen Eindringling,Tuer un Intrus,Uccidi un Intruso,Mata a un Intruso,,Mate um Intruso,,Убить Нарушителя,,杀死一个入侵者,,,,,,
df_pda_SK6GtmC,I hope this sword is effective...,"Ich hoffe, dieses Schwert ist wirksam...",J'espère que cette épée est efficace...,Spero che questa spada sia efficace...,Espero que esta espada sea efectiva...,,Espero que esta espada seja eficaz...,,"Надеюсь, этот меч эффективен...",,希望这把剑有效...,,,,,,
df_pda_QumKq2k,Check the Core Room!,Überprüfe den Kernraum!,Vérifier la Salle du Cœur !,Controlla la Sala del Nucleo!,¡Revisa la Sala del Núcleo!,,Verifique a Sala do Núcleo!,,Проверить Комнату Ядра!,,检查核心室！,,,,,,
df_pda_eKaGqMm,Don't dare to infest our ship and take the last thing I have away from me!,"Wage es nicht, unser Schiff zu befallen und mir das Letzte wegzunehmen, was ich habe!",N'osez pas infester notre vaisseau et prendre la dernière chose qui me reste !,Non osare infestare la nostra nave e portarmi via l'ultima cosa che ho!,¡No te atrevas a infestar nuestra nave y quitarme lo último que tengo!,,Não ouse infestar nosso navio e tirar a última coisa que tenho!,,"Не смей заражать наш корабль и забирать последнее, что у меня есть!",,不敢侵入我们的船，并夺走我所剩无几的东西！,,,,,,
